text,intensity,affect,stems
jerk,"0,621",anger,jerk
insane,"0,621",anger,insan
retaliation,"0,621",anger,retali
deprivation,"0,621",anger,depriv
convict,"0,621",anger,convict
theft,"0,621",anger,theft
irritate,"0,621",anger,irrit
fiend,"0,621",anger,fiend
cussed,"0,619",anger,cuss
turmoil,"0,618",anger,turmoil
smack,"0,615",anger,smack
retribution,"0,614",anger,retribut
slavery,"0,609",anger,slaveri
irritability,"0,609",anger,irrit
bitterly,"0,609",anger,bitter
battery,"0,609",anger,batteri
antagonism,"0,609",anger,antagon
twats,"0,609",anger,twat
oppressor,"0,609",anger,oppressor
injurious,"0,609",anger,injuri
intolerable,"0,609",anger,intoler
gang,"0,609",anger,gang
rebellion,"0,609",anger,rebellion
collision,"0,609",anger,collis
adverse,"0,609",anger,advers
disgraced,"0,608",anger,disgrac
revolution,"0,606",anger,revolut
diatribe,"0,606",anger,diatrib
asshole,"0,606",anger,asshol
ranting,"0,606",anger,rant
thug,"0,606",anger,thug
antagonistic,"0,606",anger,antagonist
blast,"0,606",anger,blast
sickening,"0,606",anger,sicken
irritating,"0,606",anger,irrit
irks,"0,606",anger,irk
bombardment,"0,606",anger,bombard
discrimination,"0,606",anger,discrimin
frustrate,"0,604",anger,frustrat
oppression,"0,603",anger,oppress
insult,"0,603",anger,insult
tiredofit,"0,603",anger,tiredofit
manipulation,"0,603",anger,manipul
bigot,"0,603",anger,bigot
tension,"0,603",anger,tension
hurtful,"0,603",anger,hurt
disgust,"0,602",anger,disgust
spite,"0,6",anger,spite
intrusive,"0,598",anger,intrus
harshness,"0,597",anger,harsh
slur,"0,596",anger,slur
wretch,"0,594",anger,wretch
invasion,"0,594",anger,invas
morbidity,"0,594",anger,morbid
assail,"0,594",anger,assail
tempest,"0,594",anger,tempest
miserable,"0,594",anger,miser
puncture,"0,594",anger,punctur
casualty,"0,594",anger,casualti
bitterness,"0,594",anger,bitter
inferno,"0,594",anger,inferno
storming,"0,594",anger,storm
consternation,"0,592",anger,constern
raving,"0,591",anger,rave
guilty,"0,591",anger,guilti
depraved,"0,591",anger,deprav
immoral,"0,591",anger,immor
forcibly,"0,591",anger,forcibl
overpowering,"0,591",anger,overpow
guillotine,"0,591",anger,guillotin
recalcitrant,"0,588",anger,recalcitr
accursed,"0,588",anger,accurs
invader,"0,588",anger,invad
scare,"0,588",anger,scare
screwed,"0,588",anger,screw
soannoyed,"0,588",anger,soannoy
jealousy,"0,587",anger,jealousi
indignation,"0,587",anger,indign
vexed,"0,586",anger,vex
confront,"0,582",anger,confront
brute,"0,581",anger,brute
throttle,"0,579",anger,throttl
bickering,"0,578",anger,bicker
coup,"0,578",anger,coup
defiant,"0,578",anger,defiant
criminality,"0,578",anger,crimin
provoking,"0,578",anger,provok
conflict,"0,578",anger,conflict
revolver,"0,578",anger,revolv
butcher,"0,578",anger,butcher
lash,"0,578",anger,lash
incarceration,"0,578",anger,incarcer
contentious,"0,578",anger,contenti
shutit,"0,578",anger,shutit
yousuck,"0,578",anger,yousuck
damage,"0,578",anger,damag
wreck,"0,578",anger,wreck
pillage,"0,578",anger,pillag
shutup,"0,578",anger,shutup
blaze,"0,578",anger,blaze
slut,"0,578",anger,slut
cancer,"0,577",anger,cancer
blasphemy,"0,576",anger,blasphemi
disturbance,"0,576",anger,disturb
dontmess,"0,576",anger,dontmess
standoff,"0,576",anger,standoff
pernicious,"0,576",anger,pernici
alienation,"0,576",anger,alien
gun,"0,576",anger,gun
discord,"0,576",anger,discord
grope,"0,576",anger,grope
chaotic,"0,576",anger,chaotic
frustration,"0,576",anger,frustrat
gory,"0,576",anger,gori
condescension,"0,576",anger,condescens
discriminate,"0,576",anger,discrimin
friggen,"0,575",anger,friggen
death,"0,574",anger,death
lunacy,"0,574",anger,lunaci
jab,"0,574",anger,jab
oppressive,"0,574",anger,oppress
cursed,"0,574",anger,curs
monstrosity,"0,574",anger,monstros
scandalous,"0,574",anger,scandal
sneer,"0,574",anger,sneer
shit,"0,573",anger,shit
slash,"0,571",anger,slash
disparaging,"0,571",anger,disparag
unfair,"0,571",anger,unfair
gallows,"0,57",anger,gallow
escalate,"0,569",anger,escal
intolerant,"0,564",anger,intoler
lawlessness,"0,563",anger,lawless
grouchy,"0,562",anger,grouchi
bellows,"0,562",anger,bellow
traitor,"0,562",anger,traitor
frightful,"0,562",anger,fright
perdition,"0,562",anger,perdit
slander,"0,562",anger,slander
taunt,"0,562",anger,taunt
invade,"0,562",anger,invad
wrangling,"0,562",anger,wrangl
malign,"0,562",anger,malign
bluddy,"0,562",anger,bluddi
arghh,"0,562",anger,arghh
dreadful,"0,562",anger,dread
bearish,"0,562",anger,bearish
derogatory,"0,562",anger,derogatori
glare,"0,562",anger,glare
deceived,"0,562",anger,deceiv
torpedo,"0,562",anger,torpedo
retards,"0,562",anger,retard
beast,"0,562",anger,beast
cross,"0,561",anger,cross
hurt,"0,561",anger,hurt
banshee,"0,561",anger,banshe
uncontrollable,"0,561",anger,uncontrol
shatter,"0,561",anger,shatter
jeopardize,"0,561",anger,jeopard
devastating,"0,561",anger,devast
conflagration,"0,561",anger,conflagr
thief,"0,561",anger,thief
idiots,"0,561",anger,idiot
fits,"0,561",anger,fit
grating,"0,561",anger,grate
rave,"0,561",anger,rave
dissension,"0,561",anger,dissens
betrayal,"0,561",anger,betray
disturbed,"0,559",anger,disturb
subjugation,"0,559",anger,subjug
stomped,"0,557",anger,stomp
grab,"0,557",anger,grab
ticked,"0,556",anger,tick
grievance,"0,556",anger,grievanc
masochism,"0,556",anger,masoch
defiance,"0,552",anger,defianc
blackmail,"0,55",anger,blackmail
offensive,"0,549",anger,offens
decry,"0,548",anger,decri
sin,"0,547",anger,sin
violation,"0,547",anger,violat
confine,"0,547",anger,confin
fustrated,"0,547",anger,fustrat
overbearing,"0,547",anger,overbear
deceive,"0,547",anger,deceiv
misery,"0,547",anger,miseri
rebel,"0,547",anger,rebel
punishment,"0,547",anger,punish
firearms,"0,547",anger,firearm
darkside,"0,547",anger,darksid
arghhhh,"0,547",anger,arghhhh
disparity,"0,547",anger,dispar
frustrates,"0,547",anger,frustrat
disgraceful,"0,547",anger,disgrac
shrill,"0,547",anger,shrill
ire,"0,547",anger,ire
preposterous,"0,547",anger,preposter
hadenough,"0,546",anger,hadenough
stolen,"0,546",anger,stolen
prejudice,"0,545",anger,prejudic
annoyin,"0,545",anger,annoyin
humiliate,"0,545",anger,humili
resentful,"0,545",anger,resent
conspirator,"0,545",anger,conspir
callous,"0,545",anger,callous
ruined,"0,545",anger,ruin
adversary,"0,545",anger,adversari
menace,"0,545",anger,menac
wanker,"0,545",anger,wanker
antagonist,"0,545",anger,antagonist
skirmish,"0,545",anger,skirmish
tackle,"0,545",anger,tackl
heated,"0,545",anger,heat
foul,"0,545",anger,foul
argument,"0,545",anger,argument
sting,"0,544",anger,sting
grumble,"0,544",anger,grumbl
robbery,"0,544",anger,robberi
entangled,"0,544",anger,entangl
outcry,"0,544",anger,outcri
irreconcilable,"0,543",anger,irreconcil
resistance,"0,543",anger,resist
obstructive,"0,542",anger,obstruct
dismay,"0,54",anger,dismay
mob,"0,538",anger,mob
juststop,"0,537",anger,juststop
badness,"0,536",anger,bad
ridicule,"0,534",anger,ridicul
incendiary,"0,533",anger,incendiari
flares,"0,532",anger,flare
uprising,"0,531",anger,upris
twofaced,"0,531",anger,twofac
exacerbation,"0,531",anger,exacerb
dispute,"0,531",anger,disput
whip,"0,531",anger,whip
communism,"0,531",anger,communism
prejudicial,"0,531",anger,prejudici
intruder,"0,531",anger,intrud
belittle,"0,531",anger,belittl
confinement,"0,531",anger,confin
unbridled,"0,531",anger,unbridl
allegation,"0,531",anger,alleg
reckless,"0,531",anger,reckless
degeneracy,"0,531",anger,degeneraci
dictatorial,"0,53",anger,dictatori
unjustifiable,"0,53",anger,unjustifi
bigoted,"0,53",anger,bigot
unjust,"0,53",anger,unjust
hassle,"0,53",anger,hassl
perversion,"0,53",anger,pervers
offender,"0,53",anger,offend
fiesty,"0,53",anger,fiesti
tackled,"0,53",anger,tackl
dissonance,"0,53",anger,disson
renegade,"0,529",anger,renegad
hot,"0,529",anger,hot
prison,"0,529",anger,prison
cantstandit,"0,529",anger,cantstandit
trespass,"0,529",anger,trespass
suicide,"0,521",anger,suicid
annoy,"0,52",anger,annoy
leavemealone,"0,517",anger,leavemealon
dishonest,"0,516",anger,dishonest
depravity,"0,516",anger,deprav
distrust,"0,516",anger,distrust
broil,"0,516",anger,broil
idiotic,"0,516",anger,idiot
treason,"0,516",anger,treason
venting,"0,516",anger,vent
tortious,"0,516",anger,tortious
duress,"0,516",anger,duress
criticize,"0,516",anger,critic
grrr,"0,516",anger,grrr
inimical,"0,516",anger,inim
disrespectful,"0,516",anger,disrespect
cretins,"0,516",anger,cretin
prisoner,"0,516",anger,prison
divorce,"0,516",anger,divorc
chaos,"0,515",anger,chao
coercion,"0,515",anger,coercion
unforgiving,"0,515",anger,unforgiv
unkind,"0,515",anger,unkind
frustrating,"0,515",anger,frustrat
bile,"0,515",anger,bile
unleash,"0,515",anger,unleash
argumentation,"0,515",anger,argument
jerks,"0,515",anger,jerk
pow,"0,515",anger,pow
grump,"0,515",anger,grump
hangry,"0,515",anger,hangri
victimized,"0,515",anger,victim
poachers,"0,515",anger,poacher
scold,"0,515",anger,scold
poaching,"0,515",anger,poach
roar,"0,515",anger,roar
tussle,"0,514",anger,tussl
bane,"0,511",anger,bane
repudiation,"0,51",anger,repudi
accusation,"0,51",anger,accus
enmity,"0,51",anger,enmiti
banish,"0,509",anger,banish
disfigured,"0,508",anger,disfigur
storm,"0,507",anger,storm
fear,"0,5",anger,fear
crazy,"0,5",anger,crazi
anguish,"0,5",anger,anguish
confined,"0,5",anger,confin
scoff,"0,5",anger,scoff
shun,"0,5",anger,shun
